Subject age,Partner age,Subject race,Partner race,Interracial relationship,Hispanic origin of partner,Subject Hispanic origin,Subject gender,Partner gender,Attraction,Subject education,Partner education,Region,Subject's employment status,Earn more money?,Same high school?,Same college?,Grew up same city?,Living Together,Married at baseline,Quality of Relationship?,Same_Age_Bracket,match
21,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,3,2,1,2,1,1,1,0,1
21,51,WHITE,WHITE,0,1,4,0,1,1,1,1,5,5,3,2,2,2,1,1,1,0,1
21,51,BLACK,BLACK,0,1,2,1,0,1,1,1,7,1,-1,2, ,2, ,0, ,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,7,5,1,2, ,2,1,1,1,0,1
 ,21,WHITE,WHITE,0,1,1,0,1,1,1,1,5,7,4,2,1,2, ,0, ,0,1
41,61,WHITE,ASIAN,1,1,1,0,1,1,1,1,7,5,1,2,2,2,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,7,6,3,2, ,2, ,0, ,0,1
41,71,WHITE,WHITE,0,1,1,1,0,1,1,1,5,5,3,2,2,2,1,1,1,0,1
11,71,WHITE,LATINO,1,1,1,1,0,1,1,1,5,5,3,1,2,1, ,0, ,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,2,2,2,1,1,1,0,1
 ,61,BLACK,WHITE,1,1,5,1,0,1,1,1,9,1,1,2,2,2,1,1,1,0,1
21,61,WHITE,WHITE,0,1,1,0,1,1,1,1,2,5,4,2,2,2,1,1,1,0,1
31,21,ASIAN,WHITE,1,1,3,0,1,1,1,1,4,2,1,2, ,2,1,0,3,0,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,1,2,1,1,1,2,0,1
51,51,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,1,1, ,1,1,0,2,1,1
21,31,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,3,2,1,2,1,1,2,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,9,1,1,2,2,2,1,1,1,0,1
21,61,ASIAN,LATINO,1,3,3,0,1,1,1,1,2,1,1,2, ,1,1,1,2,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,6,7,3,2, ,2, ,0, ,1,1
11,51,BLACK,BLACK,0,1,2,1,0,1,1,1,3,2,1,1, ,1,2,1,3,0,1
41,61,BLACK,BLACK,0,1,2,1,0,1,1,1,6,6,2,2, ,2,1,1,2,0,1
11,71,WHITE,WHITE,0,1,1,0,1,1,1,1,7,2,1,1, ,1,1,1,1,0,1
31,41,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,2,2,2,1,1,2,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,1,1, ,1,1,1,1,0,1
51,31,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,2, ,2, ,0, ,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,1, ,1,1,1,2,0,1
21,21,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,2,2,2,2,0,2,1,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,2,1,1,1,1,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,3,2, ,1,2,0,2,0,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2,1,1,1,0,1,0,1
11,21,,BLACK, ,1,1,1,0,1,1,1,4,1,3,2, ,1,2,0,1,0,1
31,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,2,2, ,2, ,0, ,0,1
11,21,ASIAN,ASIAN,0,1,5,1,0,2,1,1,2,1,1,2,2,2,2,0,2,0,1
11,51,NATIVE AMERICAN,WHITE,1,1,5,1,0,1,1,1,5,7,3,2,2,2,1,1,1,0,1
41,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,1,2, ,2,1,0,3,0,1
21,41,WHITE,WHITE,0,2,1,0,1,1,1,1,9,1,1,2,1,2,1,1,1,0,1
31,51,WHITE,WHITE,0,1,1,1,0,1,1,1,7,2,2,2, ,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,1,2,1,2, ,0, ,0,1
21,41,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,1,2,2,2,1,1,1,0,1
31,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,1,1,1, ,1, ,0, ,0,1
21,71,WHITE,WHITE,0,1,1,0,1,1,1,1,5,5,1,2,2,2,1,1,1,0,1
11,21,WHITE,WHITE,0,1,1,1,0,3,1,1,4,1,3,2,1,2,2,0,3,0,1
11,21,BLACK,BLACK,0,1,5,1,0,1,1,1,3,1,2,1,1,1,1,0,1,0,1
41,61,WHITE,WHITE,0,1,1,1,0,1,1,1,9,5,1,2,2,2, ,0, ,0,1
11,31,WHITE,WHITE,0,1,1,1,0,2,1,1,2,1,4,2,1,2, ,0, ,0,1
11,21,WHITE,ASIAN,1,1,1,1,0,1,1,1,4,1,1,2,2,1,2,0,1,0,1
21,71,BLACK,BLACK,0,1,2,1,0,1,1,1,5,5,1,2,2,2,1,1,2,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,4,5,3,2,2,1,1,1,1,0,1
21,21,WHITE,WHITE,0,1,1,0,1,1,1,1,3,1,2,2,2,2, ,0, ,1,1
31,41,WHITE,WHITE,0,1,1,1,0,1,1,1,4,1,2,2, ,2,1,1,1,0,1
41,71,WHITE,WHITE,0,1,1,0,1,1,1,1,9,5,2,2,2,2,1,1,1,0,1
11,61,WHITE,WHITE,0,1,1,0,1,1,1,1,3,2,3,2, ,1,1,1,2,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,2,1,1,1,1,0,1
11,71,WHITE,WHITE,0,1,1,0,1,1,1,1,2,5,4,2,2,1,1,1,2,0,1
11,21,WHITE,WHITE,0,1,1,1,0,1,1,1,2,1,2,2,1,2, ,0, ,0,1
21,21,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,3,2,2,2,1,1,1,1,1
11,21,WHITE,WHITE,0,-1,1,1,0,1,1,1,7,1,3,2,1,2,1,1,1,0,1
11,71,BLACK,BLACK,0,1,5,1,0,1,1,1,3,5,4,2,1,2,2,0,2,0,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,2,5,4,2,2,2,1,1,2,0,1
31,31,WHITE,WHITE,0,1,1,0,1,1,1,1,7,1,1,2,2,2,1,1,1,1,1
11,61,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,1, ,2,1,1,1,0,1
11,31,WHITE,WHITE,0,1,1,0,1,1,1,1,8,1,1,2,2,2,1,1,1,0,1
61,71,WHITE,WHITE,0,1,1,1,0,1,1,1,3,5,3,2, ,2,2,0,2,0,1
