Subject age,Partner age,Subject race,Partner race,Interracial relationship,Hispanic origin of partner,Subject Hispanic origin,Subject gender,Partner gender,Attraction,Subject education,Partner education,Region,Subject's employment status,Earn more money?,Same high school?,Same college?,Grew up same city?,Living Together,Married at baseline,Quality of Relationship?,Same_Age_Bracket,match
11,31,WHITE,WHITE,0,1,1,1,0,1,1,1,5,1,2,2, ,2,1,1,1,0,1
21,61,NATIVE AMERICAN,WHITE,1,1,5,1,0,1,1,1,3,2,3,2,2,2,1,1,3,0,1
11,21,WHITE,WHITE,0,1,1,1,0,4,1,1,9,7,4,2, ,1,2,1,5,0,1
11,51,WHITE,WHITE,0,1,1,0,1,1,1,1,5,1,1,2,1,2,1,1,1,0,1
21,51,ASIAN,LATINO,1,1,3,0,1,1,1,1,1,4,1,2,2,1,1,1,1,0,1
11,41,WHITE,WHITE,0,1,1,0,1,1,1,1,9,2,3,2,2,2,1,0,2,0,1
31,61,WHITE,WHITE,0,1,1,1,0,2,1,1,5,2,3,2,2,2,1,1,2,0,1
21,21,BLACK,BLACK,0,1,2,0,1,1,1,1,6,1,1,2,1,2, ,0, ,1,1
0,51,WHITE,WHITE,0,1,1,1,0,1,1,1,5,2,3,1, ,1,1,1,1,0,1
 ,21,WHITE,WHITE,0,1,1,0,1,1,1,1,2,1,2,1, ,1, ,0, ,0,1
41,61,WHITE,WHITE,0,1,1,1,0,1,1,1,1,4,3,2,2,2,1,1,1,0,1
11,51,WHITE,WHITE,0,1,1,1,0,1,1,1,8,1,1,2, ,2,1,1,1,0,1
11,71,WHITE,WHITE,0,1,1,0,1,1,1,1,7,5,1,2, ,2,1,1,1,0,1
21,41,WHITE,WHITE,0,1,1,1,0,1,1,1,3,1,3,2,2,2,1,1,1,0,1
21,51,WHITE,WHITE,0,1,1,1,0,1,1,1,7,6,3,2, ,2,1,1,2,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,8,5,2,1, ,1,1,1,1,0,1
11,71,WHITE,WHITE,0,1,1,1,0,1,1,1,1,5,4,2,2,2,2,0,1,0,1
21,31,WHITE,WHITE,0,1,1,1,0,2,1,1,3,1,3,2,1,2,1,1,1,0,1
21,51,ASIAN,ASIAN,0,1,3,0,1,1,1,1,9,1,1,2,2,2,1,1,2,0,1
